;;λ   κ
107684 0.0272884997635253
110192 0.0262955012153386
112759 0.0253384241493305
115385 0.0244164543789215
118073 0.0235277608048645
120823 0.0226716004324552
123637 0.0218466092378993
126517 0.0210515148923945
129464 0.0202853794074692
132480 0.0195470419337606
135566 0.0188356364717234
138724 0.0181500981681177
141955 0.0174896227365862
145261 0.016853228974099
148645 0.0162398146181784
152107 0.0156488650575347
155650 0.0150793620179609
159276 0.0145305151242913
162986 0.0140017098460881
166782 0.0134922035091552
170667 0.0130011651853394
174642 0.0125280551908628
178711 0.0120720073207805
182873 0.0116327453163069
187133 0.0112093633545758
191492 0.0108014121172904
195952 0.010408353676129
200516 0.0100295885403259
205187 0.00966455392595549
209966 0.00931286290385696
214857 0.00897392327097907
219862 0.00864731497733523
224983 0.00833262881697886
230224 0.00802935390730134
235586 0.00773717462385156
241074 0.0074555717985925
246689 0.00718425776279187
252435 0.00692280744528566
258315 0.00667086514750549
264332 0.00642809038024829
270489 0.0061941567229481
276790 0.00596871609454792
283237 0.00575150606199027
289835 0.00554217486344886
296586 0.00534048276196727
